Player ID,First Name_x,Last Name_x,Position_x, Salary ($) ,Games Played_x,Total Points,Average Points,First Name_y,Last Name_y,Full Name,Age,Height (cm),Weight (kg),Jumper Number,Kicking Foot,State of Origin,Draft Year,Debut Year,Draft Position,Draft Type,Position_y,Recruited From,Date of Birth,Photo URL,Team,Team Abbreviation,Games Played_y,Total matchesPlayed,Total timeOnGroundPercentage,Total behinds,Total bounces,Total centreBounceAttendances,Total centreClearances,Total clangers,Total contestDefLosses,Total contestDefLossPercentage,Total contestDefOneOnOnes,Total contestedMarks,Total contestedPossessionRate,Total contestedPossessions,Total contestOffOneOnOnes,Total contestOffWins,Total contestOffWinsPercentage,Total defHalfPressureActs,Total disposalEfficiency,Total disposals,Total dreamTeamPoints,Total effectiveDisposals,Total effectiveKicks,Total f50GroundBallGets,Total freesAgainst,Total freesFor,Total goalAccuracy,Total goalAssists,Total goals,Total groundBallGets,Total handballs,Total hitouts,Total hitoutsToAdvantage,Total hitoutToAdvantageRate,Total hitoutWinPercentage,Total inside50s,Total interceptMarks,Total intercepts,Total kickEfficiency,Total kickins,Total kickinsPlayon,Total kicks,Total kickToHandballRatio,Total marks,Total marksInside50,Total marksOnLead,Total metresGained,Total onePercenters,Total pressureActs,Total ranking,Total ratingPoints,Total rebound50s,Total ruckContests,Total scoreInvolvements,Total scoreLaunches,Total shotsAtGoal,Total spoils,Total stoppageClearances,Total tackles,Total tacklesInside50,Total totalClearances,Total totalPossessions,Total turnovers,Total uncontestedPossessions,Average matchesPlayed,Average timeOnGroundPercentage,Average behinds,Average bounces,Average centreBounceAttendances,Average centreClearances,Average clangers,Average contestDefLosses,Average contestDefLossPercentage,Average contestDefOneOnOnes,Average contestedMarks,Average contestedPossessionRate,Average contestedPossessions,Average contestOffOneOnOnes,Average contestOffWins,Average contestOffWinsPercentage,Average defHalfPressureActs,Average disposalEfficiency,Average disposals,Average dreamTeamPoints,Average effectiveDisposals,Average effectiveKicks,Average f50GroundBallGets,Average freesAgainst,Average freesFor,Average goalAccuracy,Average goalAssists,Average goals,Average groundBallGets,Average handballs,Average hitouts,Average hitoutsToAdvantage,Average hitoutToAdvantageRate,Average hitoutWinPercentage,Average inside50s,Average interceptMarks,Average intercepts,Average kickEfficiency,Average kickins,Average kickinsPlayon,Average kicks,Average kickToHandballRatio,Average marks,Average marksInside50,Average marksOnLead,Average metresGained,Average onePercenters,Average pressureActs,Average ratingPoints,Average rebound50s,Average ruckContests,Average scoreInvolvements,Average scoreLaunches,Average shotsAtGoal,Average spoils,Average stoppageClearances,Average tackles,Average tacklesInside50,Average totalClearances,Average totalPossessions,Average turnovers,Average uncontestedPossessions,Fantasy Salary ($),Value per Fantasy Point,Break Even Score,Projected Price Change,Fantasy Points per Game,Metres Gained per Possession,Score Involvement Rate (%),Clanger Rate (%),Disposal Efficiency (%),Kick Efficiency (%),Tackle Efficiency (%),Hitout Win Rate (%),Goal Conversion Rate (%),Career Experience (Years),Draft Age,Height-to-Weight Ratio,Underpriced Flag,Salary Projection Diff,Cost Efficiency
1006130,Bailey,Smith,Midfielder / Forward," $598,000.00 ",0,0,0,Bailey,Smith,Bailey Smith,24,185,0,6,RIGHT,VIC,2018,2019,7,nationalDraft,MIDFIELDER_FORWARD,East Malvern (Vic)/Xavier College (Vic)/Old Xavs (Vic)/Sandringham U18/Western Bulldogs,7/12/2000,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1006130.png?im=Scale,width=0.6,height=0.6",Western Bulldogs,WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,6,18,inf,FALSE,-598000,#DIV/0!
998129,Will,Brodie,Midfielder," $481,000.00 ",0,0,0,Will,Brodie,Will Brodie,26,190,0,17,RIGHT,VIC,2016,2017,9,nationalDraft,MIDFIELDER,Shepparton (Vic)/Murray U18/Gold Coast,23/08/1998,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/998129.png?im=Scale,width=0.6,height=0.6",Fremantle,FRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,8,18,inf,FALSE,-481000,#DIV/0!
1001028,Jack,Silvagni,Forward," $455,000.00 ",0,0,0,Jack,Silvagni,Jack Silvagni,27,194,0,1,RIGHT,VIC,2015,2016,53,fatherSon,KEY_FORWARD,Greythorn (Vic)/Xavier College (Vic)/Oakleigh U18,17/12/1997,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1001028.png?im=Scale,width=0.6,height=0.6",Carlton,CARL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,144.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,9,18,inf,FALSE,-455000,#DIV/0!
1020339,Angus,Sheldrick,Midfielder," $448,000.00 ",0,0,0,Angus,Sheldrick,Angus Sheldrick,21,178,0,12,LEFT,WA,2021,2022,18,nationalDraft,MIDFIELDER,Mosman Park (WA)/Christ Church Grammar (WA)/Claremont (WAFL),7/11/2003,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1020339.png?im=Scale,width=0.6,height=0.6",Sydney Swans,SYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,3,18,inf,FALSE,-448000,#DIV/0!
1000932,Tom,Doedee,Defender," $399,000.00 ",0,0,0,Tom,Doedee,Tom Doedee,28,190,0,12,RIGHT,VIC,2015,2018,17,nationalDraft,MEDIUM_DEFENDER,"St Joseph's, Geel (Vic)/St Joseph's College, Geel (Vic)/Geel U18/Adelaide Crows",1/03/1997,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1000932.png?im=Scale,width=0.6,height=0.6",Brisbane Lions,BL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,7,18,inf,FALSE,-399000,#DIV/0!
1029261,Bailey,Macdonald,Defender," $377,000.00 ",0,0,0,Bailey,Macdonald,Bailey Macdonald,20,182,0,42,RIGHT,VIC,2022,2023,51,nationalDraft,MEDIUM_DEFENDER,Surrey Park (Vic)/Wesley College (Vic)/Oakleigh U18,4/08/2004,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1029261.png?im=Scale,width=0.6,height=0.6",Hawthorn,HAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,2,18,inf,FALSE,-377000,#DIV/0!
1020670,Elijah,Hewett,Midfielder / Forward," $332,000.00 ",0,0,0,Elijah,Hewett,Elijah Hewett,20,186,0,8,RIGHT,WA,2022,2023,14,nationalDraft,MIDFIELDER_FORWARD,Caversham (WA)/Swan Districts (WAFL),27/05/2004,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1020670.png?im=Scale,width=0.6,height=0.6",West Coast Eagles,WCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,2,18,inf,FALSE,-332000,#DIV/0!
1020979,Cooper,Harvey,Forward," $321,000.00 ",0,0,0,Cooper,Harvey,Cooper Harvey,20,180,0,37,RIGHT,VIC,2022,2023,56,fatherSon,MEDIUM_FORWARD,Yarrambat (Vic)/Assumption College (Vic)/Northern U18,12/07/2004,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1020979.png?im=Scale,width=0.6,height=0.6",North Melbourne,NMFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,2,18,inf,FALSE,-321000,#DIV/0!
295222,Joel,Hamling,Forward," $314,000.00 ",0,0,0,Joel,Hamling,Joel Hamling,31,194,0,29,RIGHT,WA,2024,2015,33,rookieElevation,KEY_FORWARD,Cable Beach (WA)/Claremont (WAFL)/Geelong List/Western Bulldogs/Fremantle/Sydney Swans,9/04/1993,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/295222.png?im=Scale,width=0.6,height=0.6",Sydney Swans,SYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,10,31,inf,FALSE,-314000,#DIV/0!
1021200,Lachlan,McAndrew,Ruck," $302,000.00 ",0,0,0,Lachlan,McAndrew,Lachlan McAndrew,24,209,0,46,RIGHT,NSW,2021,2023,12,other,RUCK,Manly-Wwarringah (NSW)/St Augustine's College (NSW)/Sydney VFL,26/05/2000,"https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFL/2024014/1021200.png?im=Scale,width=0.6,height=0.6",Sydney Swans,SYD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,2,21,inf,FALSE,-302000,#DIV/0!
